adolescent	青少年的;未成熟的	⠁⠙⠕⠇⠑⠎⠉⠢⠞
stun	使昏迷;使大吃一驚	⠌⠥⠝
stutter	結結巴巴地說話	⠌⠥⠞⠞⠻
substitute	用...代替;代替	⠎⠥⠃⠌⠊⠞⠥⠞⠑
supervise	監督;管理;指導	⠎⠥⠏⠻⠧⠊⠎⠑
suspend	使中止	⠎⠥⠎⠏⠢⠙
sustain	支撐;承受	⠎⠥⠌⠁⠔
swarm	成群地移動(或飛行);擠滿	⠎⠺⠜⠍
sympathize	同情;憐憫	⠎⠽⠍⠏⠁⠹⠊⠵⠑
tar	塗焦油於;玷污;污辱	⠞⠜
tenant	租；租賃;居住於	⠞⠢⠁⠝⠞
terrace	使成梯形地	⠞⠻⠗⠁⠉⠑
thrill	使興奮;使激動;使毛骨悚然;顫抖	⠹⠗⠊⠇⠇
throng	擠滿;湧入	⠹⠗⠰⠛
thrust	用力推;刺;插	⠹⠗⠥⠌
tin	把...裝罐	⠞⠔
torch	如火炬般地燃燒	⠞⠕⠗⠡
torment	使痛苦;折磨;煩擾	⠞⠕⠗⠰⠞
trench	挖溝;挖戰壕	⠞⠗⠢⠡
underline	劃線於...之下;強調	⠐⠥⠇⠔⠑
venture	冒險;大膽行事	⠧⠢⠞⠥⠗⠑
vow	發誓要;鄭重宣告	⠧⠪
ward	避開;擋開	⠺⠜⠙
warehouse	把...存入倉庫	⠺⠜⠑⠓⠳⠎⠑
wharf	靠碼頭	⠱⠜⠋
whine	發哀鳴聲;發牢騷	⠱⠔⠑
whirl	旋轉;迴旋	⠱⠊⠗⠇
whisk	撢;打(蛋等);	⠱⠊⠎⠅
widow	使成寡婦(或鰥夫)	⠺⠊⠙⠪
wither	枯萎;凋謝	⠾⠻
worship	崇拜;拜神;做禮拜	⠺⠕⠗⠩⠊⠏
wring	絞;擰;緊握	⠺⠗⠬
yacht	駕快艇;乘遊艇	⠽⠁⠡⠞
yarn	講故事;長談	⠽⠜⠝
awhile	片刻	⠁⠱⠊⠇⠑
beforehand	事先;提前地	⠆⠋⠓⠯
downwards	向下	⠙⠪⠝⠺⠜⠙⠎
hence	因此;由此	⠓⠰⠑
inwards	向內	⠔⠺⠜⠙⠎
meantime	其間;同時	⠍⠂⠝⠐⠞
nonetheless	但是;仍然	⠝⠐⠕⠮⠨⠎
nowhere	任何地方都不	⠝⠕⠐⠱
outwards	向外;出海；出港;顯而易見地	⠳⠞⠺⠜⠙⠎
partly	部分地	⠐⠏⠇⠽
undoubtedly	毫無疑問地;肯定地	⠥⠝⠙⠳⠃⠞⠫⠇⠽
upwards	向上地；朝上	⠥⠏⠺⠜⠙⠎
whereabouts	在哪裡	⠐⠱⠁⠃⠎
midst	在...之中	⠍⠊⠙⠌
versus	(常略作v.或vs.)與...相對	⠧⠻⠎⠥⠎
lest	惟恐;免得;擔心	⠇⠑⠌
whereas	(常用在句首)反之;而	⠐⠱⠁⠎
abortion	墮胎	⠁⠃⠕⠗⠰⠝
acknowledgement	承認;確認;致謝;回音;公證狀	⠁⠉⠐⠅⠇⠫⠛⠑⠰⠞
adolescence	青春期	⠁⠙⠕⠇⠑⠎⠉⠰⠑
advertiser	刊登廣告者;廣告客戶	⠁⠙⠧⠻⠞⠊⠎⠻
affection	愛慕;鍾愛	⠁⠖⠑⠉⠰⠝
agenda	議程	⠁⠛⠢⠙⠁
AI	人工智慧	⠠⠠⠁⠊
allergy	過敏症	⠁⠇⠇⠻⠛⠽
anthem	國歌;頌歌	⠁⠝⠮⠍
architect	建築師	⠜⠡⠊⠞⠑⠉⠞
architecture	建築學	⠜⠡⠊⠞⠑⠉⠞⠥⠗⠑
arena	體育場;競技場	⠜⠢⠁
astonishment	驚訝;驚愕	⠁⠌⠕⠝⠊⠩⠰⠞
astronaut	太空人；宇航員	⠁⠌⠗⠕⠝⠁⠥⠞
astronomer	天文學家	⠁⠌⠗⠕⠝⠕⠍⠻
astronomy	天文學	⠁⠌⠗⠕⠝⠕⠍⠽
attendance	出席;出席人數;侍候	⠁⠞⠞⠢⠙⠨⠑
