abnormal	不正常的	⠁⠃⠝⠕⠗⠍⠁⠇
subsequent	隨後的;接著發生的	⠎⠥⠃⠎⠑⠟⠥⠢⠞
subtle	微妙的;難捉摸的	⠎⠥⠃⠞⠇⠑
suburban	郊區的;近郊的	⠎⠥⠃⠥⠗⠃⠁⠝
successive	連續的;後繼的;繼承的	⠎⠥⠒⠑⠎⠎⠊⠧⠑
superb	宏偉的;華麗的;	⠎⠥⠏⠻⠃
supersonic	超音波的;超音速的	⠎⠥⠏⠻⠎⠕⠝⠊⠉
superstitious	迷信的	⠎⠥⠏⠻⠌⠊⠞⠊⠳⠎
surplus	過剩的;剩餘的	⠎⠥⠗⠏⠇⠥⠎
symbolic	象徵的;符號的	⠎⠽⠍⠃⠕⠇⠊⠉
synthetic	綜合(性)的;合成的;人造的	⠎⠽⠝⠮⠞⠊⠉
tedious	冗長乏味的;使人厭煩的	⠞⠫⠊⠳⠎
textile	紡織的	⠞⠑⠭⠞⠊⠇⠑
theatrical	劇場的;戲劇的;戲劇性的	⠮⠁⠞⠗⠊⠉⠁⠇
theoretical	理論的;非應用的;假設的	⠮⠕⠗⠑⠞⠊⠉⠁⠇
thrifty	節儉的;茂盛的	⠹⠗⠊⠋⠞⠽
tranquil	平靜的;安靜的;安寧的	⠞⠗⠁⠝⠟⠥⠊⠇
triumphant	勝利的;得意洋洋的	⠞⠗⠊⠥⠍⠏⠓⠁⠝⠞
trivial	瑣細的;平凡的	⠞⠗⠊⠧⠊⠁⠇
tropic	熱帶的	⠞⠗⠕⠏⠊⠉
truant	逃學的;玩忽職守的	⠞⠗⠥⠁⠝⠞
ultimate	最後的;最終的	⠥⠇⠞⠊⠍⠁⠞⠑
unanimous	全體一致的	⠥⠝⠁⠝⠊⠍⠳⠎
utmost	最大的;最遠的;極度的	⠥⠞⠍⠕⠌
valiant	勇敢的;英勇的	⠧⠁⠇⠊⠁⠝⠞
valid	有根據的;有效的	⠧⠁⠇⠊⠙
variable	易變的;變異的	⠧⠜⠊⠁⠃⠇⠑
versatile	多才多藝的;多功能的	⠧⠻⠎⠁⠞⠊⠇⠑
vicious	惡意的;惡毒的	⠧⠊⠉⠊⠳⠎
victorious	勝利的	⠧⠊⠉⠞⠕⠗⠊⠳⠎
